"","Lfd. Nr.","Konzentrationslager und Außenkommandos","Konzentrationslager und Außenkommandos","Hauptlager der Außenkommandos"
"1923","","","ab 6.8.1943",""
"1924","1125","Paris, Magazin de Meubles Levitan,","Paris, Magazin de Meubles Levitan,","Drancy"
"1925","","","18.7.1943 bis 12.8.1944",""
"1926","1126","Parschnitz = Porici, Kreis Trautenau/Tschech.,","Parschnitz = Porici, Kreis Trautenau/Tschech.,","Groß Rosen"
"1927","","","bis 8.5.1945",""
"1928","1127","Passau I, Oberilzmühle,","Passau I, Oberilzmühle,","Dachau, ab 18.11.1942 Mauthausen"
"1929","","","16.10.1942 bis 2.5.1945",""
"1930","1128","Passau II, Waldwerke Passau-Ilzstadt,","Passau II, Waldwerke Passau-Ilzstadt,","Mauthausen"
"1931","","","bis 7.11.1944",""
"1932","1129","Passau III, Gemeinde Jandelsbrunn, Kdo. v. Passau I","Passau III, Gemeinde Jandelsbrunn, Kdo. v. Passau I","Mauthausen"
"1933","1130","Peenemünde, siehe Karlshagen","Peenemünde, siehe Karlshagen",""
"1934","1131","Peggau bei Graz/Österreich,","Peggau bei Graz/Österreich,","Mauthausen"
"1935","","","bis 14.4.1945",""
"1936","1132","Pelplin = Pomorskie/Westpreußen,","Pelplin = Pomorskie/Westpreußen,","Stutthof"
"1937","","","15.5.1940 bis 30.6.1940",""
"1938","1133","Pelters = Peltre bei Metz,","Pelters = Peltre bei Metz,","Natzweiler"
"1939","","","ab 31.3.1942",""
"1940","1134","Penig, Kreis Rochlitz/Sachsen,","Penig, Kreis Rochlitz/Sachsen,","Buchenwald"
"1941","","","15.1.1945 bis 15.4.1945",""
"1942","1135","Perg/Oberösterreich, nur Arbeitseinsatzstelle v. Mauthausen","Perg/Oberösterreich, nur Arbeitseinsatzstelle v. Mauthausen",""
"1943","1136","Petershagen, nur Arbeitseinsatzstelle v. Stutthof","Petershagen, nur Arbeitseinsatzstelle v. Stutthof",""
"1944","1137","Peterswaldau, Kreis Reichenbach/Niederschlesien,","Peterswaldau, Kreis Reichenbach/Niederschlesien,","Groß Rosen"
"1945","1138","Petrovgrad = Groß Betschkerek = Veliki Beckerek,","Petrovgrad = Groß Betschkerek = Veliki Beckerek,",""
"1946","","","20.7.1942 bis 2.10.1944",""
"1947","1139","Pfaffenhofen/Bayern","Pfaffenhofen/Bayern","Dachau"
"1948","1140","Pfersee, siehe Augsburg-Pfersee","Pfersee, siehe Augsburg-Pfersee",""
"1949","1141","Pithiviers/Frankreich,","Pithiviers/Frankreich,",""
"1950","","","14.5.1941 bis 30.9.1942",""
"1951","1142","Plansee, Gemeinde Breitenwang/Tirol, Österreich,","Plansee, Gemeinde Breitenwang/Tirol, Österreich,","Dachau"
"1952","","","bis 5.5.1945 (Männerlager)",""
"1953","","","ab 26.9.1944 (Frauenlager)",""
"1954","1143","Plantlünne","Plantlünne","Esterwegen"
"1955","1144","Plaszow, siehe Krakau","Plaszow, siehe Krakau",""
"1956","1145","Plattenwald, siehe Kochendorf","Plattenwald, siehe Kochendorf",""
"1957","1146","Plattling bei Deggendorf,","Plattling bei Deggendorf,","Flossenbürg"
"1958","","","20.2.1945 bis 24.4.1945",""
"1959","1147","Plauen/Sachsen, Horn GmbH,","Plauen/Sachsen, Horn GmbH,","Flossenbürg"
"1960","","","9.11.1944 bis 31.3.1945",""
"1961","1148","Plauen/Sachsen, Industriewerke AG,","Plauen/Sachsen, Industriewerke AG,","Flossenbürg"
"1962","","","23.9.1944 bis 14.4.1945",""
"1963","1149","Plauen/Sachsen, Plauener Baumwollspinnerei AG,","Plauen/Sachsen, Plauener Baumwollspinnerei AG,","Flossenbürg"
"1964","","","18.9.1944 bis 14.4.1945",""
"1965","1150","Plawy, Kreis Bielitz-Land/Oberschlesien,","Plawy, Kreis Bielitz-Land/Oberschlesien,","Auschwitz"
"1966","","","20.12.1944 bis 18.1.1945 (Männer)",""
"1967","","","3.1.1945 bis 18.1.1945 (Frauen)",""
"1968","1151","Plömnitz, Kreis Bernburg/Anhalt, Bahnstation Baalberg,","Plömnitz, Kreis Bernburg/Anhalt, Bahnstation Baalberg,","Buchenwald"
"1969","","","ab 22.8.1944",""
"1970","1152","Pluwig, nur Arbeitseinsatzstelle v. Hinzert","Pluwig, nur Arbeitseinsatzstelle v. Hinzert",""
"1971","1153","Pocking, siehe Kirchham","Pocking, siehe Kirchham",""
"1972","1154","Pölitz/Pommern,","Pölitz/Pommern,","Stutthof"
"1973","","","27.6.1944 bis 18.4.1945",""
"1974","1155","Pöllert, nur Arbeitseinsatzstelle von Hinzert","Pöllert, nur Arbeitseinsatzstelle von Hinzert",""
"1975","1156","Pollnhof, siehe Dachau-Pollnhof","Pollnhof, siehe Dachau-Pollnhof",""
"1976","1157","Polte, siehe Magdeburg-Polte","Polte, siehe Magdeburg-Polte",""
"1977","1158","Pomorskie, siehe Pelplin","Pomorskie, siehe Pelplin",""
"1978","1159","Poniatowa, Kreishauptmannschaft Pulawy/Polen,","Poniatowa, Kreishauptmannschaft Pulawy/Polen,","Lublin"
"1979","","","22.10.1943 bis 31.7.1944",""
"1980","1160","Poperwahlen = Popervale/Lettland,","Poperwahlen = Popervale/Lettland,","Riga-Kaiserwald"
"1981","","","bis 31.12.1944",""
"1982","1161","Poppenbüttel-Sasel, siehe Hamburg-Sasel","Poppenbüttel-Sasel, siehe Hamburg-Sasel",""
"1983","1162","Porici, siehe Parschnitz","Porici, siehe Parschnitz",""
"1984","1163","Porschdorf über Bad Schandau/Sachsen,","Porschdorf über Bad Schandau/Sachsen,","Flossenbürg"
"1985","","","3.2.1945 bis 8.5.1945",""
"1986","1164","Porta-Westfalica bei Barkhausen-Lerbeck, siehe Barkhausen","Porta-Westfalica bei Barkhausen-Lerbeck, siehe Barkhausen",""
"1987","1165","Poschetzau = Bozicany, Kreis Elbogen/Tschech.,","Poschetzau = Bozicany, Kreis Elbogen/Tschech.,","Flossenbürg"
"1988","","","ab 19.8.1944",""
"1989","1166","Potsdam-Babelsberg","Potsdam-Babelsberg","Sachsenhausen"
"1990","1167","Pottenstein/Oberfranken,","Pottenstein/Oberfranken,","Flossenbürg"
"1991","","","12.10.1942 bis 15.4.1945",""
"1992","1168","Pottenstein/Oberfranken, Kdo. v. Nürnberg","Pottenstein/Oberfranken, Kdo. v. Nürnberg","Flossenbürg"
"1993","1169","Prag = Praha, siehe Jungfern Breschan","Prag = Praha, siehe Jungfern Breschan",""
"1994","1170","Praust bei Danzig,","Praust bei Danzig,","Stutthof"
"1995","","","7.7.1944 bis 31.1.1945",""
"1996","1171","Prawienischken = Pravieniskis/Litauen,","Prawienischken = Pravieniskis/Litauen,","Kauen"
"1997","","","ab 1.11.1943",""
"1998","1172","Präzifix, siehe Dachau Präzifix","Präzifix, siehe Dachau Präzifix",""
"1999","1173","Prenzlau/Brandenburg,","Prenzlau/Brandenburg,","Ravensbrück"
"2000","","","bis 27.4.1945",""
"2001","1174","Prettin, Kreis Torgau,","Prettin, Kreis Torgau,","Sachsenhausen"
"2002","","","ab 3.10.1941",""
"2003","1175","Preußisch Oldendorf","Preußisch Oldendorf","Esterwegen"
"2004","1176","Preußisch Stargard = Starogard bei Dirschau/Marienburg","Preußisch Stargard = Starogard bei Dirschau/Marienburg","Stutthof"
"2005","1177","Primstal, nur Arbeitseinsatzstelle v. Hinzert","Primstal, nur Arbeitseinsatzstelle v. Hinzert",""
"2006","1178","Pröbbernau/Ostpreußen,","Pröbbernau/Ostpreußen,","Stutthof"
"2007","","","31.10.1939 bis 27.3.1941",""
"2008","1179","Puck, siehe Putzig","Puck, siehe Putzig",""
"2009","1180","Pulawy, Lublin,","Pulawy, Lublin,","Lublin"
"2010","","","13.6.1944 bis 22.7.1944",""
"2011","1181","Pürglitz = Krivoklat/Tschech.,","Pürglitz = Krivoklat/Tschech.,","Theresienstadt"
"2012","","","10.4.1942 bis 6.6.1942",""
"2013","1182","Pürschkau/Niederschlesien,","Pürschkau/Niederschlesien,","Groß Rosen"
"2014","","","22.10.1944 bis 22.1.1945",""
"2015","1183","Pustkow, Kreis Debica/Polen","Pustkow, Kreis Debica/Polen",""
"2016","1183a","Putki/Estland,","Putki/Estland,","Vaivara"
"2017","","","ab 15.9.1943",""
"2018","1184","Putzig = Puck/Westpreußen,","Putzig = Puck/Westpreußen,","Stutthof"
"2019","","","bis 31.3.1945",""
"2020","","","",""
"2021","","Q","Q",""
"2022","1185","Quedlinburg,","Quedlinburg,","Buchenwald"
"2023","","","20.4.1942 bis 7.1.1943",""
"2024","1186","Quedlinburg,","Quedlinburg,","Buchenwald, ab 1.11.1944 Dora-Mittelbau"
"2025","","","bis 13.4.1945",""
"2026","1187","Quednau,","Quednau,",""
"2027","","","ab 1.6.1933",""
"2028","1188","Quesendorf = Gwizdziny, Kreis Neumark/Westpreußen,","Quesendorf = Gwizdziny, Kreis Neumark/Westpreußen,","Stutthof"
"2029","","","bis 15.1.1945",""
"2030","","","",""
"2031","","R","R",""
"2032","1189","Rabenstein (Rabstein) = Rabstejn bei Kamnitz/Tschech.,","Rabenstein (Rabstein) = Rabstejn bei Kamnitz/Tschech.,","Flossenbürg"
"2033","","","26.8.1944 bis 8.5.1945",""
"2034","1190","Radolfzell, Kreis Konstanz,","Radolfzell, Kreis Konstanz,","Dachau"
"2035","","","19.5.1941 bis 16.1.1945",""
"2036","1191","Radom/Polen,","Radom/Polen,","Lublin"
"2037","","","17.1.1944 bis 31.1.1945",""
"2038","1192","Raguhn/Anhalt,","Raguhn/Anhalt,","Buchenwald"
"2039","","","7.2.1945 bis 13.4.1945",""
"2040","1193","Rajsko, Kreis Biala bei Krakau","Rajsko, Kreis Biala bei Krakau","Auschwitz"
"2041","1193a","Rambau (Männer), Gemeinde Schüddelkau/Danzig-Westpreußen","Rambau (Männer), Gemeinde Schüddelkau/Danzig-Westpreußen","Stutthof"
"2042","","","7.10.1939 bis 18.10.1939",""
"2043","1194","Rappenau, siehe Bad Rappenau","Rappenau, siehe Bad Rappenau",""
"2044","1195","Rastatt/Baden,","Rastatt/Baden,","Schirmeck-Vorbruck"
"2045","","","bis 2.12.1944",""
"2046","1196","Rastatt/Baden","Rastatt/Baden","Natzweiler"
"2047","1197","Rastdorf,","Rastdorf,","Esterwegen"
"2048","","","13.12.1938 bis 29.2.1944",""
"2049","1198","Rathen, siehe Königstein","Rathen, siehe Königstein",""
"2050","1199","Rathenow bei Stendal,","Rathenow bei Stendal,","Sachsenhausen"
"2051","","","bis 27.4.1945",""
"2052","1200","Rathmannsdorf, siehe Porschdorf","Rathmannsdorf, siehe Porschdorf",""
"2053","1201","Rauscha, Kreis Görlitz, Kdo. v. Bunzlau I,","Rauscha, Kreis Görlitz, Kdo. v. Bunzlau I,","Groß Rosen"
"2054","","","bis 16.2.1945",""
"2055","1202","Ravensbrück,","Ravensbrück,",""
"2056","","","15.5.1939 bis 30.4.1945",""
"2057","1203","Rechlin, Kreis Waren bei Neustrelitz,","Rechlin, Kreis Waren bei Neustrelitz,","Ravensbrück"
"2058","","","1.1.1943 bis 8.5.1945",""
"2059","1204","Redl-Zipf, siehe Schlier Redl-Zipf","Redl-Zipf, siehe Schlier Redl-Zipf",""
"2060","1205","Regensburg/Bayern,","Regensburg/Bayern,","Flossenbürg"
"2061","","","19.3.1945 bis 23.4.1945",""
"2062","1206","Regenstein, Forst, Kdo. v. Blankenburg/Harz,","Regenstein, Forst, Kdo. v. Blankenburg/Harz,","Dora-Mittelbau"
"2063","","","1.2.1945 bis 30.4.1945",""
"2064","1207","Rehmsdorf, siehe Tröglitz","Rehmsdorf, siehe Tröglitz",""
"2065","1208","Reichenau = Rychnov u Jablonce nad Nisou/Tschech.,","Reichenau = Rychnov u Jablonce nad Nisou/Tschech.,","Groß Rosen"
"2066","","","13.3.1944 bis 8.5.1945",""
"2067","1209","Reichenbach, siehe Langenbielau","Reichenbach, siehe Langenbielau",""
"2068","1210","Reinsfeld I und II, nur Arbeitseinsatzstelle v. Hinzert","Reinsfeld I und II, nur Arbeitseinsatzstelle v. Hinzert",""
"2069","1211","Reinickendorf, siehe Berlin-Reinickendorf","Reinickendorf, siehe Berlin-Reinickendorf",""
"2070","1212","Retzow, siehe Rechlin","Retzow, siehe Rechlin",""
"2071","1213","Reuth bei Erbendorf,","Reuth bei Erbendorf,","Flossenbürg"
"2072","","","12.1.1945 bis 30.4.1945",""
"2073","1214","Reval = Tallin/Estland","Reval = Tallin/Estland","Vaivara"
"2074","","","bis 22.9.1944",""
"2075","1215","Rheinsberg/Brandenburg","Rheinsberg/Brandenburg","Ravensbrück"
"2076","1216","Rieben/Pommern,","Rieben/Pommern,","Stutthof"
"2077","","","3.2.1945 bis 10.3.1945",""
"2078","1217","Ried im Innkreis/Oberösterreich","Ried im Innkreis/Oberösterreich","Mauthausen"
"2079","1218","Riederloh, Kdo. v. Kaufbeuren,","Riederloh, Kdo. v. Kaufbeuren,","Dachau"
"2080","","","20.9.1944 bis 8.1.1945",""
"2081","1219","Riem, siehe München-Riem","Riem, siehe München-Riem",""
"2082","1220","Riga-""Kaiserwald"" = Riga ""Meza Parks"",","Riga-""Kaiserwald"" = Riga ""Meza Parks"",",""
"2083","","","15.3.1943 bis 1.10.1944",""
"2084","1221","Riga, Balastdamm,","Riga, Balastdamm,","Riga-Kaiserwald"
"2085","","","18.8.1943 bis 7.8.1944",""
"2086","1222","Riga, Dünawerke,","Riga, Dünawerke,","Riga-Kaiserwald"
"2087","","","18.8.1943 bis 1.7.1944",""
"2088","1223","Riga, Heereskraftfahrzeugpark,","Riga, Heereskraftfahrzeugpark,","Riga-Kaiserwald"
"2089","","","18.8.1943 bis 6.8.1944",""
"2090","1224","Riga, Heereskraftfahrzeugpark, Park Hirtenstraße, Kdo. v. Riga, Heeres-kraftfahrzeugpark,","Riga, Heereskraftfahrzeugpark, Park Hirtenstraße, Kdo. v. Riga, Heeres-kraftfahrzeugpark,","Riga-Kaiserwald"
"2091","","","31.1.1944 bis 6.8.1944",""
"2092","1225","Riga, Lenta,","Riga, Lenta,","Riga-Kaiserwald"
"2093","","","ab 18.8.1943",""
"2094","1226","Riga-Meza Parks, siehe Riga-Kaiserwald","Riga-Meza Parks, siehe Riga-Kaiserwald",""
"2095","1227","Riga, Mühlgraben,","Riga, Mühlgraben,","Riga-Kaiserwald"
"2096","","","ab 18.8.1943",""
"2097","1228","Riga, Reichsbahn,","Riga, Reichsbahn,","Riga-Kaiserwald"
"2098","","","ab 18.8.1943",""
"2099","1229","Riga, Spilwe,","Riga, Spilwe,","Riga-Kaiserwald"
"2100","","","ab 5.7.1943",""
"2101","1230","Riga-Strasdenhof, Anodenwerkstatt, Kdo. v. Riga-Strasdenhof, Widzemer Chaussee, AEG,","Riga-Strasdenhof, Anodenwerkstatt, Kdo. v. Riga-Strasdenhof, Widzemer Chaussee, AEG,","Riga-Kaiserwald"
"2102","","","1.6.1944 bis 30.8.1944",""
"2103","1231","Riga, Truppenwirtschaftslager,","Riga, Truppenwirtschaftslager,","Riga-Kaiserwald"
"2104","","","ab 18.3.1943",""
"2105","1232","Riga-Strasdenhof, Widzemer Chaussee, AEG,","Riga-Strasdenhof, Widzemer Chaussee, AEG,","Riga-Kaiserwald"
"2106","","","1.8.1943 bis 25.9.1944",""
"2107","1233","Riga-Strasdenhof, Widzemer Chaussee, Fabrikarbeiten,","Riga-Strasdenhof, Widzemer Chaussee, Fabrikarbeiten,","Riga-Kaiserwald"
"2108","","","18.8.1943 bis 6.8.1944",""
"2109","1234","Rijen/Holland, siehe Gilze Rijen","Rijen/Holland, siehe Gilze Rijen",""
"2110","1235","Risiera, siehe La Risiera","Risiera, siehe La Risiera",""
"2111","1236","Rochlitz/Sachsen,","Rochlitz/Sachsen,","Flossenbürg"
"2112","","","14.9.1944 bis 28.3.1945",""
"2113","1237","Rohrdorf, siehe Thansau","Rohrdorf, siehe Thansau",""
"2114","1238","Röhrigshof/Hessen,","Röhrigshof/Hessen,",""
"2115","","","1.11.1944 bis 31.3.1945",""
"2116","1239","Romainville, siehe Fort de Romainville","Romainville, siehe Fort de Romainville",""
"2117","1240","Roman, siehe Bruss-Sophienwalde","Roman, siehe Bruss-Sophienwalde",""
"2118","1241","Roosendaal/Holland","Roosendaal/Holland","Herzogenbusch"
"2119","1242","Rosenheim/Bayern","Rosenheim/Bayern","Dachau"
"2120","1243","Rosenberg i. Westpr./Ostpreußen","Rosenberg i. Westpr./Ostpreußen","Stutthof"
"2121","1244","Rosenberg = Rozankowo/Danzig-Westpreußen,","Rosenberg = Rozankowo/Danzig-Westpreußen,","Stutthof"
"2122","","","ab 1.1.1945",""
"2123","1245","Rossla, Kreis Sangerhausen (früher: Kreis Merseburg)","Rossla, Kreis Sangerhausen (früher: Kreis Merseburg)","Buchenwald, ab 1.11.1944 Dora-Mittelbau"
"2124","1246","Rosslau, Anhalt,","Rosslau, Anhalt,",""
"2125","","","ab 19.2.1934",""
"2126","1247","Rostock-Schwarzenforst,","Rostock-Schwarzenforst,","Ravensbrück"
"2127","","","1.7.1943 bis 1.5.1945",""
"2128","1248","Rothenburg, Kreis Merseburg/Thüringen,","Rothenburg, Kreis Merseburg/Thüringen,","Buchenwald"
"2129","","","ab 24.10.1944",""
"2130","1249","Rothschwaige, Gemeinde Karlsfeld, Kdo. v. Karlsfeld,","Rothschwaige, Gemeinde Karlsfeld, Kdo. v. Karlsfeld,","Dachau"
"2131","","","bis 31.7.1944",""
"2132","1250","Rottleberode, Kreis Merseburg, Bauleitung A 5 und Mittelwerke GmbH,","Rottleberode, Kreis Merseburg, Bauleitung A 5 und Mittelwerke GmbH,","Buchenwald, ab 1.11.1944 Dora-Mittelbau"
"2133","","","13.3.1944 bis 4.4.1945",""
"2134","1251","Rottleberode, Kreis Merseburg, Maschinenbaukommando B 4 und Mittelwerke GmbH, bis 4.4.1945","Rottleberode, Kreis Merseburg, Maschinenbaukommando B 4 und Mittelwerke GmbH, bis 4.4.1945","Buchenwald, ab 1.11.1944 Dora-Mittelbau"
"2135","1252","Rottleberode, Kreis Merseburg, Thyrawerke und Mittelwerke GmbH, bis 4.4.1945","Rottleberode, Kreis Merseburg, Thyrawerke und Mittelwerke GmbH, bis 4.4.1945","Buchenwald, ab 21.11.1944 Dora-Mittelbau"
"2136","1253","","Rozankowo, siehe Rosenberg",""
"2137","1254","","Rtyne, siehe Hertine",""
"2138","1254a","","Rückenau (Männer)/Danzig-Westpreußen, 25.9.1939 bis 28.12.1939","Stutthof"
"2139","1254b","","Rudau (Männer)/Ostpreußen",""
"2140","1255","","Russenschin = Russoschin/Westpreußen, 13.9.1944 bis 31.1.1945","Stutthof"
"2141","1256","","Rybnik, siehe Charlottengrube",""
"2142","1257","","Rychnov, siehe Reichenau",""
"2143","1258","","Rydultau, siehe Charlottengrube",""
"2144","","S","S",""
"2145","1259","","Saal a.d. Donau, Kreis Kelheim, bis 15.4.1945","Flossenbürg"
"2146","1260","","Saalfeld/Thüringen, 7.9.1943 bis 19.4.1945","Buchenwald"
"2147","1261","","Saarburg I und II, nur Arbeitseinsatzstellen v. Hinzert",""
"2148","1262","","Saarow, siehe Bad Saarow",""
"2149","1263","","Sabac = Schabatz/Serbien, 20.7.1941 bis 30.9.1944",""
"2150","1264","","Sabac-Senjak = Schabatz-Senjak, 30.9.1941 bis 31.3.1942",""
"2151","1265","","Sachsenburg, Kreis Flöha/Sachsen, 3.5.1933 bis 9.9.1937",""
"2152","1266","","Sachsenhausen,",""
"2153","1266","","1.8.1936 bis 22.4.1945 mit",""
"2154","1266","","SS-Baubrigade I",""
"2155","1266","","SS-Baubrigade II",""
"2156","1266","","SS-Baubrigade III",""
"2157","1266","","SS-Baubrigade IV",""
"2158","1266","","SS-Baubrigade V-West",""
"2159","1266","","SS-Baubrigade IX",""
"2160","1266","","SS-Eisenbahn-Baubrigade 1 (auch als 6 bezeichnet)",""
"2161","1266","","SS-Eisenbahn-Baubrigade 2 (auch als 7 bezeichnet)",""
"2162","1266","","SS-Eisenbahn-Baubrigade 8",""
"2163","1266","","SS-Eisenbahn-Baubrigade 10",""
"2164","1266","","SS-Eisenbahn-Baubrigade 11",""
"2165","1266","","SS-Eisenbahn-Baubrigade 12",""
"2166","1266","","SS-Eisenbahn-Baubrigade 13",""
"2167","1267","","Sackisch/Niederschlesien, bis 8.5.1945","Groß Rosen"
"2168","1268","","Sainte-Marie-aux-Mines, siehe Markirch",""
"2169","1269","","Saloniki, ""Baron Hirsch"", 6.2.1943 bis 7.8.1943",""
"2170","1270","","Salza, siehe Dora-Mittelbau",""
"2171","1271","","Salzbrunn, siehe Bad Salzbrunn",""
"2172","1272","","Salzburg, bis 4.5.1945","Dachau"
"2173","1273","","Salzburg, Bombensuchkommando, 27.11.1944 bis 4.5.1945","Dachau"
"2174","1274","","Salzburg, Hellbrunner Allee, ab 1.12.1944","Dachau"
"2175","1275","","Salzburg, Kapitelplatz","Dachau"
"2176","1276","","Salzburg-Schürich, 11.12.1942 bis 28.12.1942","Dachau"
"2177","1277","","Salzburg, Sprengkommando, 12.1.1945 bis 4.5.1945","Dachau"
"2178","1278","","Salzgitter, ab 1.8.1943","Neuengamme"
"2179","1279","","Salzgitter-Drütte, siehe Drütte",""
"2180","1280","","Salzgitter-Watenstedt, siehe Watenstedt",""
"2181","1281","","Salzungen, siehe Bad Salzungen",""
"2182","1282","","Salzwedel/Prov. Sachsen, 10.7.1944 bis 15.4.1945","Neuengamme"
"2183","1283","","Salzweg, siehe Passau I",""
"2184","1284","","Sanciai, siehe Kauen-Schanzen",""
"2185","1285","","Sandbostel, ab 15.4.1945","Neuengamme"
"2186","1286","","Sandhofen, siehe Mannheim-Sandhofen",""
"2187","1287","","Sandweier, siehe Iffezheim",""
"2188","1288","","Sasel, siehe Hamburg-Sasel",""
"2189","1288a","","Saskoschin (Männer)/Danzig-Westpreußen, 26.9.1940 bis 25.11.1940","Stutthof"
"2190","1289","","Säuferwassergraben/Niederschlesien, Kdo. v. Wüstegiersdorf, bis 8.5.1945","Groß Rosen"
"2191","1290","","Saulgau/Württemberg, ab 13.9.1943","Dachau"
"2192","1291","","Schabatz, siehe Sabac",""
"2193","1292","","Schandelah, Kreis Braunschweig, 8.5.1944 bis 12.4.1945","Neuengamme"
"2194","1293","","Schanzen, siehe Kauen-Schanzen",""
"2195","1294","","Schatzlar = Zacler/Tschech., bis 8.5.1945","Groß Rosen"
"2196","1295","","Schaulen = Siauliai/Litauen, 17.9.1943 bis 21.7.1944","Kauen"
"2197","1296","","Schellmühl, siehe Danzig-Schellmühl",""
"2198","1297","","Scherokopas, siehe Schirkenpaß",""
"2199","1298","","Schertendorf/Niederschlesien, bis 28.2.1945","Groß Rosen"
"2200","1299","","Schippenbeil/Ostpreußen, ab 21.9.1944","Stutthof"
"2201","1300","","Schirkenpaß (Scherokopas) = Szerokopas, Kreis Thorn, 1.8.1944 bis 31.1.1945","Stutthof"
"2202","1301","","Schirmeck-Vorbruck = Labroque/Baden-Elsaß, ab 15.7.1940",""
"2203","1302","","Schlachters, Kreis Lindau, Gemeinde Sigmarszell, bis 7.4.1945","Dachau"
"2204","1303","","Schlackenwerth = Ostrov, Bez. Karlsbad/Tschech., ab 17.5.1943","Flossenbürg"
"2205","1304","","Schleissheim, Kreis München, ab 5.10.1941","Dachau"
"2206","1305","","Schlieben, Kreis Schweinitz,16.8.1944 bis 30.4.1945 (Männerlager)bis 8.5.1945 (Frauenlager)","Ravensbrück, ab 1.9.1944 Buchenwald"
"2207","1306","","""Schlier Redl-Zipf"", Gemeinde Vöcklamarkt und Pfaffing/Oberösterreich, 10.10.1943 bis 3.5.1945","Mauthausen"
"2208","1307","","Schloß Dammsmühle, siehe Dammsmühle",""
"2209","1308","","Schloß Eisenberg, siehe Eisenberg",""
"2210","1309","","Schloß Friedenthal, siehe Friedenthal",""
"2211","1310","","Schloß Hartheim/Oberösterreich","Mauthausen"
"2212","1311","","Schloß Itter/Tirol, 7.2.1943 bis 5.5.1945","Dachau"
"2213","1312","","Schloß Jungfern Breschan, siehe Jungfern Breschan",""
"2214","1313","","Schloß Lannach/Steiermark, Kdo. v. Schloß Mittersill, bis 8.5.1945","Mauthausen"
"2215","1314","","Schloß Lind/Steiermark, 22.6.1942 bis 3.5.1945","Dachau, ab 20.11.1942 Mauthausen"
"2216","1315","","Schloß Mittersill, Kreis Zell am See, bis 8.5.1945","Mauthausen"
"2217","1316","","Schloß Neuhirschstein, Kdo. v. Dresden N 23, Bauleitung der Waffen-SS und Polizei, ab 7.10.1943","Flossenbürg"
"2218","1317","","Schnarchenreuth/Bayern, 13.3.1945 bis 22.4.1945","Theresienstadt"
"2219","1318","","Schömberg, Kreis Balingen, ab 16.12.1943","Natzweiler"
"2220","1319","","Schönau, siehe Leipzig-Schönau",""
"2221","1320","","Schönnbrunn, siehe Wien-Schönbrunn",""
"2222","1321","","Schönebeck, Kreis Calbe, Junkerswerke, 19.3.1943 bis 12.4.1945","Buchenwald"
"2223","1322","","Schönebeck, Kreis Calbe, Radiatorenwerk, 3.3.1945 bis 12.4.1945","Buchenwald"
"2224","1323","","Schönefeld/Brandenburg, bis 20.4.1945","Ravensbrück, später Sachsenhausen"
"2225","1324","","Schönefeld, siehe Leipzig-Schönefeld",""
"2226","1325","","Schönheide, Kreis Schwarzenberg/Sachsen, 21.2.1945 bis 15.4.1945","Flossenbürg"
"2227","1325a","","Schönhorst (Männer)/Danzig-Westpreußen, 24.8.1941 bis 29.9.1941","Stutthof"
"2228","1325b","","Schönsee (Männer)/Danzig-Westpreußen, 23.11.1939 bis 17.1.1942","Stutthof"
"2229","1326","","Schönwalde, siehe Dammsmühle",""
"2230","1327","","Schönwarling/Westpreußen, 8.3.1940 bis 11.6.1941 und ab 7.11.1943","Stutthof"
"2231","1328","","Schoorl/Holland, 1.2.1941 bis 30.9.1941",""
"2232","1329","","Schörzingen, Kreis Rottweil, 20.2.1944 bis 19.4.1945","Natzweiler"
"2233","1330","","Schoten (Schooten)/Belgien, Kdo. v. Mechelen, 1.7.1942 bis 30.6.1944","Mechelen"
"2234","1331","","Schwabing, siehe München-Schwabing",""
"2235","1332","","Schwäbisch-Hall, siehe Hessenthal",""
"2236","1333","","Schwabmünchen, siehe Kaufering",""
"2237","1334","","Schwarzenfelde/Westpreußen, 23.10.1941 bis 10.11.1941","Stutthof"
"2238","1335","","Schwarzenforst, siehe Rostock-Schwarzenforst",""
"2239","1336","","Schwarzheide/Brandenburg, 5.7.1944 bis 16.4.1945","Sachsenhausen"
"2240","1337","","Schwechat, Gemeinde Wien-Schwechat, 30.8.1943 bis 13.7.1944","Mauthausen"
"2241","1338","","Schwechat II, siehe Wien-Floridsdorf II",""
"2242","1339","","Schwechat III, siehe Wien-Floridsdorf III",""
"2243","1340","","Schweidnitz/Niederschlesien, ab 1.1.1944","Groß Rosen"
"2244","1341","","Schwerte/Ruhr, Kreis Iserlohn, ab 6.4.1944","Buchenwald"
"2245","1342","","Schwesing, siehe Husum-Schwesing",""
"2246","1343","","Schwientochlowitz = Swietochlowice, siehe Eintrachthütte",""
"2247","1344","","Schwindratzheim/Baden-Elsaß, bis 31.10.1944","Natzweiler"
"2248","1345","","Seehausen, Kreis Weilheim","Dachau"
"2249","1346","","Seerappen/Ostpreußen, 21.9.1944 bis 15.1.1945","Stutthof"
"2250","1346a","","Seestadtl = Ervenice (Männer)/Reichsgau Sudetenland, 1.9.1944 bis 7.10.1944","Flossenbürg"
"2251","1347","","Seifhennersdorf, Kreis Zittau, 17.1.1944 bis 16.3.1945","Flossenbürg"
"2252","1348","","Semlin = Zemun, Messeplatz von Belgrad, 28.10.1941 bis 31.5.1944",""
"2253","1349","","Sendling, siehe München-Sendling",""
"2254","1350","","Senftenberg, siehe Schwarzheide",""
